Index,Compensation,WorkLife,Org Id,Satisfaction,Opportunity,Leadership
1,"Medical benefits, Pay, Vacation hours, Discounts, D&D coverage, and life insurance ","Time spent working, quality time with family, time spent on pleasure, time to spend individually, vacation time, and free time","Sense of belonging, Team loyalty, Corporate culture, Employee commitment, Identity alignment.","Workplace happiness, motivation, rewards and benefits, work-life balance, personal growth.","Advancement potential, skill development, job promotions, training opportunities, goal alignment.","Visionary guidance, team motivation, decision-making, strategic planning, conflict resolution."
2,"Money given for work, giving something in return of an act or service, an agreement, a trade-off, I give something to you for your hard work","Having responsibilities in work and home, balancing between two jobs, two jobs, Busy, harkworking","Identifying oneself in an organization, self-awareness, status in an organization, defined in an organization, organized","I love my job, my job does not seem like work, It is easy work, I has good benefits, loving working there","Improvement, Ways to move up, promotion, open doors, taking a chance","Leader, works well with others, is not a boss, positive feedback, helping everyone growing"
3,"making a living, surviving, pay check, equal pay, money ","healthy balance, strong relationships, time management, positive life, happy life ","Identity, belonging, relation, group think, bonding ","Dedication, excited to work, comfortable, Positive, without dread ","growth, promotions, bonus pay, moving up the ladder, opportunistic ","Encouraging, understanding, leading by example, positive, influential "
4,1. Benefits 2. Salary 3.Vacation time 4.Access 5. Money,1. Stress 2. Family orientation 3.Home 4. Remote 5. Productivity,1. Involvement 2. Integration 3. Culture 4. Human Resources 5. Colaboration,1.Happiness 2. Friends 3. Coworker relations 4. Stress 5. work life balance,1.Promotion 2.Moving up the ladder 3.Dependability 4. Loyalty 5. Trust,1. Charisma 2. Empathy 3.Passion 4.Dedication 5. Manipulation
5,"Fair, earned, money, progress, salary","Fair, even, rest, not consuming, enjoyable","rememberable, differentiated, unique, profit, money","happy, pleasure, fair, good wage, treat well","good, accessible, competitive, rewarding, exciting","calm, precense, organization, communication, respect"
6,"Free, on the house, business provided, payed for, mine","9-5, family time, balance, jobs, future ","Business, working, boring, I.D.","Happy, satisfied, okay, good job ","Future, don’t mess up, chance, employee","Boss, ceo, rules, demands, salary "
7,"salary, income, reward for work, payment, amount","work and Homelife, relaxtion time, family time, equal time, balance ","ready, member, apart, team, identify","happy, likeable, enjoyable, postive, likely to recommend ","vaule, options, change, bigger, better","leader, caring, outgoing, helpful, impactful"
8,"good, bad, sad, and mad ","whats your role, good, sad, mad ",how to work with other people ,are you doing your job good ,what to do in life ,being a good leader 
9,1. Money 2. Monetary 3. Paid 4. Bonus 5. $$,1. Life outside of work 2. Availability 3. Balance 4. Peace of Mind 5. Non Toxic work environment ,1. Work identity 2. Member 3. Individualism 4. Team 5. Attributes ,1. Satisfaction 2. Content 3. Pleasure 4. Happiness 5. Comfort ,1. Potential 2. Hopes 3. Expectations 4. Satisfaction 5. Opportunity ,1. Guidance 2. Strong skills 3. People person 4. Management 5. Decision maker 
10,"•Income, bonuses,healthcare, social security bonuses","Being able to be happy in your work while maintaining a healthy lifestyle, having a good balance of how much you work and to have time to do what you really like.",Cant think of anything,"Being happy, good salary, bonuses, good relations with coworkers, not too much stress","Studying what you like, being able to find a job that matches your skill, working in what you like and have studied ","Bosses, the importance of a good leader, good environment, healthy constructive feedback"
