ReviewID,ReviewTime,R_Ovrall,CEO,Outlook,WorkLife,Culture,Diversity,Senior,Recommend,Career,Compens,EmployerID,Current,Length,Status,JobEnd,Title,Location,pro,cons,summary,advice,helpful,nothelpful,spgroup
68359631,"""2022-08-25T18:30:53.340""",2,"""APPROVE""","""NEGATIVE""",1,4,5,2,"""POSITIVE""",2,2,8876,TRUE,9,"""REGULAR""",null,"{""__ref"":""JobTitle:12067""}","{""__ref"":""City:1155606""}",Great benefits \n4 month Parental leave\n6% company match 401K,Small staffs= lots of work\nExpected to excel with purposefully limited staff.\nNo incentive for long term employees\nCompany eliminating many positions,Great Benefits,"""When blanketed raises go out, give long term existing employees a fair raise also.""",0,0,sp500
68357652,"""2022-08-25T17:11:09.630""",2,null,null,0,0,0,0,null,0,0,8876,TRUE,2,"""REGULAR""",null,null,null,Great team environment. I genuinely enjoyed the people I worked with.,"The pressure came straight from above. Unbearable at best, unethical at worst.",Under Pressure,null,0,0,sp500
68357400,"""2022-08-25T17:00:17.097""",4,null,null,0,0,0,0,null,0,0,8876,TRUE,20,"""REGULAR""",null,"{""__ref"":""JobTitle:1007751""}","{""__ref"":""City:1150505""}",Great Company to work for all around,Not offering very many remote positions,Great while it lasted,null,0,0,sp500
68352333,"""2022-08-25T14:07:19.560""",3,"""NO_OPINION""","""NEUTRAL""",3,2,3,2,"""NEGATIVE""",3,2,8876,FALSE,4,"""PART_TIME""",2020,"{""__ref"":""JobTitle:19561""}","{""__ref"":""City:1148170""}",Social environment for part time work,Not much growth for part time employees,Teller,null,0,0,sp500
68350308,"""2022-08-25T13:11:43.987""",3,null,null,3,1,3,1,null,3,3,8876,TRUE,20,"""REGULAR""",null,null,null,Benefits and PTO are desireable,New management structure needs improvement,Review headline,null,0,0,sp500
68350243,"""2022-08-25T13:10:02.067""",4,null,null,4,3,5,4,null,5,5,8876,TRUE,0,"""REGULAR""",null,"{""__ref"":""JobTitle:47221""}",null,Good benefits and pay. Customer service,Most clients are awful and rude and you can’t do anything about it,Review,null,0,0,sp500
68349012,"""2022-08-25T12:38:04.877""",3,null,null,0,0,0,0,null,0,0,8876,FALSE,2,"""REGULAR""",2019,null,null,"good culture, benefits, interesting work",low pay relative to industry,Former QR,null,0,0,sp500
68348631,"""2022-08-25T12:29:15.817""",3,"""APPROVE""","""NEUTRAL""",5,2,2,4,"""NEGATIVE""",1,5,8876,TRUE,4,"""REGULAR""",null,"{""__ref"":""JobTitle:1030398""}","{""__ref"":""City:1149160""}","Good benefits, pay, and coworkers",Hostile and toxic work environment from policies management puts out\nInconsistent policies based on who you're under and what day of the week it is ( policies flip and change that fast constantly),Hostile work environment but great benefits,"""Be on the same page when making changes, don't make changes for the sake of making changes, and lead by example.""",0,0,sp500
68346833,"""2022-08-25T11:46:03.677""",5,"""APPROVE""","""POSITIVE""",5,5,5,5,"""POSITIVE""",5,5,8876,TRUE,2,"""REGULAR""",null,"{""__ref"":""JobTitle:54501""}","{""__ref"":""City:1138644""}","There are a huge number of programs and groups within Wells Fargo, that the bank supports, who provide support and comradery. \nThe teams I have worked on are incredibly supportive.","As with any large organization, there are many groups within the bank that are not cooperative and who become additional hurdles in trying to accomplish your work.",Friendly and caring,"""Keep one eye on the future and the other on the past, but if you ever lose sight of the individual in your teams, then you have made a won't turn somewhere.""",0,0,sp500
68339333,"""2022-08-25T08:50:56.207""",5,"""NO_OPINION""","""POSITIVE""",5,5,5,5,"""POSITIVE""",5,5,8876,FALSE,9,"""REGULAR""",2018,"{""__ref"":""JobTitle:50301""}",null,"Time off, people I worked with and the job",There are none. I loved it,Great Place,null,0,0,sp500
